CECO,DESCRIPCION_CECO,Año,Mes,NOMBRE_INDICADOR,INDICADOR
0,Acumulado,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,7100"
0,Acumulado,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6900"
0,Acumulado,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6600"
0000,ADMINISTRACION,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"-0,0100"
0000,ADMINISTRACION,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"-0,0100"
0000,ADMINISTRACION,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"-0,0100"
1156,COMPENSAR SUBA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,1400"
1156,COMPENSAR SUBA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,1400"
1156,COMPENSAR SUBA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,1400"
1192,CLINICA PORTOAZUL,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1192,CLINICA PORTOAZUL,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1192,CLINICA PORTOAZUL,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1210,EDIFICIO DE ARTES NUEVO S-1-R,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1210,EDIFICIO DE ARTES NUEVO S-1-R,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1210,EDIFICIO DE ARTES NUEVO S-1-R,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1221,NUEVO TX,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,3700"
1221,NUEVO TX,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,3700"
1221,NUEVO TX,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,3700"
1227,ESTACION DE POLICIA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,6100"
1227,ESTACION DE POLICIA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,6100"
1227,ESTACION DE POLICIA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,6100"
1244,CENTRO COMERCIAL BULEVAR NIZA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,4900"
1244,CENTRO COMERCIAL BULEVAR NIZA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,4900"
1244,CENTRO COMERCIAL BULEVAR NIZA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,4900"
1248,BLOQUES H E I,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,4600"
1248,BLOQUES H E I,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,4600"
1248,BLOQUES H E I,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,4600"
1251,PLANTA PROENFAR S A S,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4800"
1251,PLANTA PROENFAR S A S,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4800"
1251,PLANTA PROENFAR S A S,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4800"
1259,UNIV EXTERNADO BLOQUES H e I,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"80,6100"
1259,UNIV EXTERNADO BLOQUES H e I,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"80,6100"
1259,UNIV EXTERNADO BLOQUES H e I,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"80,6100"
1277,CIUDADELA CCIAL UNICENTRO MED,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,7100"
1277,CIUDADELA CCIAL UNICENTRO MED,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,7100"
1277,CIUDADELA CCIAL UNICENTRO MED,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,7100"
1289,HOSPITAL UNIVERSITARIO,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6700"
1289,HOSPITAL UNIVERSITARIO,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6700"
1289,HOSPITAL UNIVERSITARIO,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6700"
1291,INFRAESTRUCTURA EDUCATIVA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,8900"
1291,INFRAESTRUCTURA EDUCATIVA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,8900"
1291,INFRAESTRUCTURA EDUCATIVA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,8900"
1330,BLOQUE C,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,6300"
1330,BLOQUE C,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,6300"
1330,BLOQUE C,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,6300"
1343,NUEVA SEDE ACUEDUCTO,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,1200"
1343,NUEVA SEDE ACUEDUCTO,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,1200"
1343,NUEVA SEDE ACUEDUCTO,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,1200"
1358,CTRO INTERNAL DE CONVENCIONES,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,0100"
1358,CTRO INTERNAL DE CONVENCIONES,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,0100"
1358,CTRO INTERNAL DE CONVENCIONES,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,0100"
1385,C. HOSPITALARIO SERENA DEL MAR,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6600"
1385,C. HOSPITALARIO SERENA DEL MAR,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6000"
1385,C. HOSPITALARIO SERENA DEL MAR,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6100"
1392,OXO 69,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1392,OXO 69,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1392,OXO 69,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1393,OXO CARTAGENA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1393,OXO CARTAGENA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1393,OXO CARTAGENA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1409,GIMNASIO MODERNO -RESTAURACION,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,9600"
1409,GIMNASIO MODERNO -RESTAURACION,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,9600"
1409,GIMNASIO MODERNO -RESTAURACION,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,9600"
1411,EDIFICIO CALLE 119,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1411,EDIFICIO CALLE 119,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1411,EDIFICIO CALLE 119,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1412,ACQUA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6500"
1412,ACQUA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6500"
1412,ACQUA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6500"
1413,EDIFICIO 19.90,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,8800"
1413,EDIFICIO 19.90,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,8800"
1413,EDIFICIO 19.90,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,8800"
1416,HOTELES CITY,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"4,4500"
1416,HOTELES CITY,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"4,4500"
1416,HOTELES CITY,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"4,4500"
1428,ED.OF ACADEMICAS COL. RICHMOND,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1428,ED.OF ACADEMICAS COL. RICHMOND,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1428,ED.OF ACADEMICAS COL. RICHMOND,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1434,HOTEL ESTELAR CARTAGENA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,3500"
1434,HOTEL ESTELAR CARTAGENA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3500"
1434,HOTEL ESTELAR CARTAGENA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3500"
1438,TIENDAS DE CONVENIENCIA TERPEL,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"41,6500"
1438,TIENDAS DE CONVENIENCIA TERPEL,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"41,6500"
1438,TIENDAS DE CONVENIENCIA TERPEL,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"41,6500"
1439,PLAZA CENTRAL CENTRO COMERCIAL,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6400"
1439,PLAZA CENTRAL CENTRO COMERCIAL,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6400"
